,n_commits
2021-06-01,4
2021-07-01,13
2021-08-01,27
2021-09-01,8
2021-10-01,83
2021-11-01,71
2021-12-01,18
2022-01-01,15
2022-02-01,13
2022-03-01,1
2022-04-01,0
2022-05-01,7
2022-06-01,10
2022-07-01,5
2022-08-01,10
2022-09-01,4
2022-10-01,9
2022-11-01,7
2022-12-01,1
2023-01-01,3
2023-02-01,1
2023-03-01,7
2023-04-01,1
2023-05-01,4
2023-06-01,1
2023-07-01,0
2023-08-01,0
2023-09-01,0
2023-10-01,0
2023-11-01,0
2023-12-01,0
2024-01-01,0
2024-02-01,0
2024-03-01,0
2024-04-01,0
2024-05-01,0
2024-06-01,0
2024-07-01,17
2024-08-01,0
2024-09-01,0
2024-10-01,5
2024-11-01,0
2024-12-01,3
2025-01-01,1
2025-02-01,7
2025-03-01,2
2025-04-01,1
